CodeForces average performance (100 contests, top-50):
392.43558552260146, 0.30000000000000004: 0.6217551020408162, 5.533s
392.43558552260146, 0.35000000000000003: 0.6227428571428573, 3.999s
392.43558552260146, 0.4: 0.623412244897959, 3.943s
392.43558552260146, 0.45: 0.6237632653061224, 3.957s
392.43558552260146, 0.5: 0.6243510204081633, 3.978s
392.43558552260146, 0.55: 0.624342857142857, 3.984s
392.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.016s
392.43558552260146, 0.65: 0.6249551020408165, 4.03s
392.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.06s
392.43558552260146, 0.75: 0.6253061224489795, 4.069s
392.43558552260146, 0.8: 0.6248734693877551, 4.056s
392.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.095s
392.43558552260146, 0.9: 0.624669387755102, 4.34s
392.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.322s
407.43558552260146, 0.05: 0.6160653061224489, 3.245s
407.43558552260146, 0.1: 0.6174367346938778, 3.408s
407.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.554s
407.43558552260146, 0.2: 0.6201061224489797, 3.643s
407.43558552260146, 0.25: 0.6211183673469386, 3.704s
407.43558552260146, 0.30000000000000004: 0.6217551020408162, 3.794s
407.43558552260146, 0.35000000000000003: 0.6227428571428573, 3.805s
407.43558552260146, 0.4: 0.623412244897959, 3.875s
407.43558552260146, 0.45: 0.6237632653061224, 3.922s
407.43558552260146, 0.5: 0.6243510204081633, 5.501s
407.43558552260146, 0.55: 0.624342857142857, 5.21s
407.43558552260146, 0.6000000000000001: 0.6244897959183673, 3.997s
407.43558552260146, 0.65: 0.6249551020408165, 4.06s
407.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.003s
407.43558552260146, 0.75: 0.6253061224489795, 6.05s
407.43558552260146, 0.8: 0.6248734693877551, 5.742s
407.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.5s
407.43558552260146, 0.9: 0.624669387755102, 4.23s
407.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.269s
422.43558552260146, 0.05: 0.6160653061224489, 3.358s
422.43558552260146, 0.1: 0.6174367346938778, 3.59s
422.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.738s
422.43558552260146, 0.2: 0.6201061224489797, 3.969s
422.43558552260146, 0.25: 0.6211183673469386, 3.848s
