CodeForces average performance (50 contests, top-50):
307.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.243s
307.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.118s
307.43558552260146, 0.8: 0.6493551020408163, 1.164s
307.43558552260146, 0.9: 0.6490448979591839, 1.254s
307.43558552260146, 1: 0.648538775510204, 1.136s
307.43558552260146, 1.1: 0.6493061224489795, 1.282s
307.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.185s
307.43558552260146, 1.3: 0.6490938775510203, 1.207s
307.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.276s
307.43558552260146, 1.5: 0.6488816326530613, 1.288s
307.43558552260146, 1.6: 0.6487999999999999, 1.429s
307.43558552260146, 1.7000000000000002: 0.649208163265306, 1.466s
307.43558552260146, 1.8: 0.6494204081632654, 1.4s
307.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.431s
327.43558552260146, 0.1: 0.6486530612244897, 1.025s
327.43558552260146, 0.2: 0.6495510204081633, 1.084s
327.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.082s
327.43558552260146, 0.4: 0.651673469387755, 1.399s
327.43558552260146, 0.5: 0.6519673469387754, 1.281s
327.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.134s
327.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.142s
327.43558552260146, 0.8: 0.6493551020408163, 1.278s
327.43558552260146, 0.9: 0.6490448979591839, 1.131s
327.43558552260146, 1: 0.648538775510204, 1.216s
327.43558552260146, 1.1: 0.6493061224489795, 1.16s
327.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.156s
327.43558552260146, 1.3: 0.6490938775510203, 1.45s
327.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.27s
327.43558552260146, 1.5: 0.6488816326530613, 1.16s
327.43558552260146, 1.6: 0.6487999999999999, 1.354s
327.43558552260146, 1.7000000000000002: 0.649208163265306, 1.36s
327.43558552260146, 1.8: 0.6494204081632654, 1.207s
327.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.168s
347.43558552260146, 0.1: 0.6486530612244897, 0.949s
347.43558552260146, 0.2: 0.6495510204081633, 1.189s
347.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.075s
347.43558552260146, 0.4: 0.651673469387755, 1.064s
347.43558552260146, 0.5: 0.6519673469387754, 1.179s
347.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.111s
347.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.136s
347.43558552260146, 0.8: 0.6493551020408163, 1.296s
347.43558552260146, 0.9: 0.6490448979591839, 1.136s
347.43558552260146, 1: 0.648538775510204, 1.139s
347.43558552260146, 1.1: 0.6493061224489795, 1.157s
347.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.161s
347.43558552260146, 1.3: 0.6490938775510203, 1.136s
347.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.301s
347.43558552260146, 1.5: 0.6488816326530613, 1.164s
347.43558552260146, 1.6: 0.6487999999999999, 1.214s
347.43558552260146, 1.7000000000000002: 0.649208163265306, 1.159s
347.43558552260146, 1.8: 0.6494204081632654, 1.156s
347.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.348s
367.43558552260146, 0.1: 0.6486530612244897, 0.956s
367.43558552260146, 0.2: 0.6495510204081633, 1.094s
367.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.039s
367.43558552260146, 0.4: 0.651673469387755, 1.072s
367.43558552260146, 0.5: 0.6519673469387754, 1.281s
367.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.236s
367.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.138s
367.43558552260146, 0.8: 0.6493551020408163, 1.157s
367.43558552260146, 0.9: 0.6490448979591839, 1.142s
367.43558552260146, 1: 0.648538775510204, 1.387s
367.43558552260146, 1.1: 0.6493061224489795, 1.198s
367.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.142s
367.43558552260146, 1.3: 0.6490938775510203, 1.199s
367.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.174s
367.43558552260146, 1.5: 0.6488816326530613, 1.163s
367.43558552260146, 1.6: 0.6487999999999999, 1.167s
367.43558552260146, 1.7000000000000002: 0.649208163265306, 1.174s
367.43558552260146, 1.8: 0.6494204081632654, 1.155s
367.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.337s
387.43558552260146, 0.1: 0.6486530612244897, 0.992s
387.43558552260146, 0.2: 0.6495510204081633, 0.996s
387.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.071s
387.43558552260146, 0.4: 0.651673469387755, 1.088s
387.43558552260146, 0.5: 0.6519673469387754, 1.091s
387.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.212s
387.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.24s
387.43558552260146, 0.8: 0.6493551020408163, 1.268s
387.43558552260146, 0.9: 0.6490448979591839, 1.181s
387.43558552260146, 1: 0.648538775510204, 1.262s
387.43558552260146, 1.1: 0.6493061224489795, 1.149s
387.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.18s
387.43558552260146, 1.3: 0.6490938775510203, 1.148s
387.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.352s
387.43558552260146, 1.5: 0.6488816326530613, 1.403s
387.43558552260146, 1.6: 0.6487999999999999, 1.153s
387.43558552260146, 1.7000000000000002: 0.649208163265306, 1.307s
387.43558552260146, 1.8: 0.6494204081632654, 1.17s
387.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.18s
407.43558552260146, 0.1: 0.6486530612244897, 1.114s
407.43558552260146, 0.2: 0.6495510204081633, 1.024s
407.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.08s
407.43558552260146, 0.4: 0.651673469387755, 1.227s
407.43558552260146, 0.5: 0.6519673469387754, 1.359s
407.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.216s
407.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.609s
407.43558552260146, 0.8: 0.6493551020408163, 1.385s
407.43558552260146, 0.9: 0.6490448979591839, 1.277s
407.43558552260146, 1: 0.648538775510204, 1.262s
407.43558552260146, 1.1: 0.6493061224489795, 1.172s
407.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.367s
407.43558552260146, 1.3: 0.6490938775510203, 1.222s
407.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.275s
407.43558552260146, 1.5: 0.6488816326530613, 1.197s
407.43558552260146, 1.6: 0.6487999999999999, 1.487s
407.43558552260146, 1.7000000000000002: 0.649208163265306, 1.387s
407.43558552260146, 1.8: 0.6494204081632654, 1.297s
407.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.233s
427.43558552260146, 0.1: 0.6486530612244897, 1.125s
427.43558552260146, 0.2: 0.6495510204081633, 1.482s
427.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.22s
427.43558552260146, 0.4: 0.651673469387755, 1.072s
427.43558552260146, 0.5: 0.6519673469387754, 1.128s
427.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.26s
427.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.127s
427.43558552260146, 0.8: 0.6493551020408163, 1.117s
427.43558552260146, 0.9: 0.6490448979591839, 1.15s
427.43558552260146, 1: 0.648538775510204, 1.158s
427.43558552260146, 1.1: 0.6493061224489795, 1.152s
427.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.3s
427.43558552260146, 1.3: 0.6490938775510203, 1.166s
427.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.131s
427.43558552260146, 1.5: 0.6488816326530613, 1.186s
427.43558552260146, 1.6: 0.6487999999999999, 1.132s
427.43558552260146, 1.7000000000000002: 0.649208163265306, 1.255s
427.43558552260146, 1.8: 0.6494204081632654, 1.173s
427.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.165s
447.43558552260146, 0.1: 0.6486530612244897, 0.976s
447.43558552260146, 0.2: 0.6495510204081633, 1.003s
447.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.182s
447.43558552260146, 0.4: 0.651673469387755, 1.07s
447.43558552260146, 0.5: 0.6519673469387754, 1.125s
447.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.102s
447.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.107s
447.43558552260146, 0.8: 0.6493551020408163, 1.154s
447.43558552260146, 0.9: 0.6490448979591839, 1.138s
447.43558552260146, 1: 0.648538775510204, 1.159s
447.43558552260146, 1.1: 0.6493061224489795, 1.249s
447.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.154s
447.43558552260146, 1.3: 0.6490938775510203, 1.162s
447.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.17s
447.43558552260146, 1.5: 0.6488816326530613, 1.14s
447.43558552260146, 1.6: 0.6487999999999999, 1.158s
447.43558552260146, 1.7000000000000002: 0.649208163265306, 1.314s
447.43558552260146, 1.8: 0.6494204081632654, 1.157s
447.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.269s
467.43558552260146, 0.1: 0.6486530612244897, 1.049s
467.43558552260146, 0.2: 0.6495510204081633, 1.211s
467.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.152s
467.43558552260146, 0.4: 0.651673469387755, 1.327s
467.43558552260146, 0.5: 0.6519673469387754, 1.478s
467.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.34s
467.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.279s
467.43558552260146, 0.8: 0.6493551020408163, 1.124s
