CodeForces average performance (50 contests, top-50):
452.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.507s
452.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.626s
452.43558552260146, 0.4: 0.651673469387755, 1.531s
452.43558552260146, 0.45: 0.6512163265306122, 2.112s
452.43558552260146, 0.5: 0.6519673469387754, 2.018s
452.43558552260146, 0.55: 0.6509714285714284, 1.98s
452.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.743s
452.43558552260146, 0.65: 0.650269387755102, 1.608s
452.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.642s
452.43558552260146, 0.75: 0.6499428571428573, 1.753s
452.43558552260146, 0.8: 0.6493551020408163, 1.645s
452.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.62s
452.43558552260146, 0.9: 0.6490448979591839, 1.55s
452.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.998s
467.43558552260146, 0.05: 0.6487183673469388, 1.71s
467.43558552260146, 0.1: 0.6486530612244897, 1.648s
467.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.789s
467.43558552260146, 0.2: 0.6495510204081633, 1.611s
467.43558552260146, 0.25: 0.6496489795918365, 1.682s
467.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.539s
467.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.851s
467.43558552260146, 0.4: 0.651673469387755, 1.717s
467.43558552260146, 0.45: 0.6512163265306122, 1.951s
467.43558552260146, 0.5: 0.6519673469387754, 1.835s
467.43558552260146, 0.55: 0.6509714285714284, 1.684s
467.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.517s
467.43558552260146, 0.65: 0.650269387755102, 1.68s
467.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.618s
467.43558552260146, 0.75: 0.6499428571428573, 1.488s
467.43558552260146, 0.8: 0.6493551020408163, 1.99s
467.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.725s
467.43558552260146, 0.9: 0.6490448979591839, 1.861s
467.43558552260146, 0.9500000000000001: 0.6485387755102039, 2.138s
482.43558552260146, 0.05: 0.6487183673469388, 1.302s
482.43558552260146, 0.1: 0.6486530612244897, 1.572s
482.43558552260146, 0.15000000000000002: 0.6495020408163265, 1.512s
482.43558552260146, 0.2: 0.6495510204081633, 1.475s
482.43558552260146, 0.25: 0.6496489795918365, 1.744s
482.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.532s
482.43558552260146, 0.35000000000000003: 0.6514285714285716, 1.767s
482.43558552260146, 0.4: 0.651673469387755, 1.767s
482.43558552260146, 0.45: 0.6512163265306122, 1.772s
482.43558552260146, 0.5: 0.6519673469387754, 1.852s
482.43558552260146, 0.55: 0.6509714285714284, 1.6s
482.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.646s
482.43558552260146, 0.65: 0.650269387755102, 1.543s
482.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.637s
482.43558552260146, 0.75: 0.6499428571428573, 1.679s
482.43558552260146, 0.8: 0.6493551020408163, 1.477s
482.43558552260146, 0.8500000000000001: 0.6494530612244896, 1.685s
482.43558552260146, 0.9: 0.6490448979591839, 1.879s
482.43558552260146, 0.9500000000000001: 0.6485387755102039, 1.75s
EloR average performance (50 contests, top-50):
175, 27.5: 0.6779755102040816, 1.9s
175, 29: 0.6780081632653062, 1.769s
175, 30.5: 0.6780408163265307, 1.706s
175, 32: 0.6780408163265307, 2.114s
175, 33.5: 0.6780081632653061, 3.751s
175, 35: 0.6780081632653062, 2.458s
175, 36.5: 0.6779918367346941, 1.756s
175, 38: 0.6779428571428572, 1.434s
175, 39.5: 0.6780081632653063, 1.607s
175, 41: 0.6777632653061225, 1.396s
175, 42.5: 0.6777795918367348, 1.421s
175, 44: 0.677861224489796, 1.709s
175, 45.5: 0.6779755102040818, 1.385s
175, 47: 0.6779591836734694, 1.268s
175, 48.5: 0.6779265306122452, 1.241s
175, 50: 0.6778122448979593, 1.258s
175, 51.5: 0.6776163265306123, 1.26s
175, 53: 0.6776489795918367, 1.66s
175, 54.5: 0.6775673469387755, 1.48s
175, 56: 0.6775673469387755, 1.452s
175, 57.5: 0.6774693877551021, 1.365s
175, 59: 0.6774040816326533, 1.481s
175, 60.5: 0.6772244897959183, 1.373s
175, 62: 0.677142857142857, 1.515s
175, 63.5: 0.6768326530612245, 1.467s
175, 65: 0.6765061224489796, 1.663s
175, 66.5: 0.6765061224489795, 1.46s
175, 68: 0.6758693877551019, 1.605s
175, 69.5: 0.6756734693877552, 1.742s
175, 71: 0.6754612244897958, 1.446s
180, 27.5: 0.6776326530612247, 1.511s
180, 29: 0.677648979591837, 1.558s
180, 30.5: 0.6776816326530612, 1.321s
180, 32: 0.6776816326530612, 1.244s
180, 33.5: 0.6779591836734694, 1.251s
180, 35: 0.6778775510204084, 1.291s
180, 36.5: 0.6779428571428574, 1.254s
180, 38: 0.6778775510204085, 1.251s
180, 39.5: 0.6776326530612247, 1.309s
180, 41: 0.6775346938775512, 1.62s
180, 42.5: 0.6775999999999999, 1.446s
180, 44: 0.6775510204081631, 1.377s
180, 45.5: 0.6778122448979592, 1.255s
180, 47: 0.6778612244897958, 1.385s
180, 48.5: 0.6777959183673468, 1.436s
180, 50: 0.6777959183673468, 1.5s
180, 51.5: 0.677730612244898, 1.562s
180, 53: 0.6775020408163266, 1.61s
180, 54.5: 0.6774040816326533, 1.479s
180, 56: 0.6773387755102039, 1.451s
180, 57.5: 0.6772897959183674, 1.748s
